1528759240.586324,7154637,18F0000F,8,F0,7D,7D,FF,0F,FF,FF,FF
1528759240.587309,7154638,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.601307,7154652,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.601307,7154652,18FEF000,8,FF,FF,FF,FF,FF,FF,FF,FF
1528759240.603331,7154654,18EBFF00,8,08,01,9C,01,03,01,9D,00
1528759240.605349,7154656,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.606310,7154657,0CFD9200,8,F0,FF,FF,FF,FF,FF,FF,FF
1528759240.610350,7154661,18F00E00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.612351,7154663,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.621308,7154672,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.625351,7154676,18FD0700,8,57,FF,FF,FF,FF,FF,FF,FF
1528759240.626305,7154677,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.626305,7154677,18FEF100,8,FF,00,00,FC,33,00,1F,CF
1528759240.632308,7154683,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.635353,7154686,18F00F00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.641305,7154692,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.641305,7154692,0CF00A00,8,00,00,00,00,FF,FF,FF,FF
1528759240.645349,7154696,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.646308,7154697,18FEF200,8,00,00,00,00,0E,06,FF,FF
1528759240.650372,7154701,18FDB400,8,20,1D,FF,FE,FF,FF,FF,FF
1528759240.652349,7154703,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.656310,7154707,18EBFF00,8,09,03,01,61,00,03,01,43
1528759240.661350,7154712,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.661350,7154712,18F00E00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.662306,7154713,18FEE000,8,97,44,31,00,80,44,31,00
1528759240.665353,7154716,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.670350,7154721,18FDB300,8,FF,FF,FF,FE,FF,FF,FF,FF
1528759240.671305,7154722,18F00100,8,FF,FF,FF,FF,FF,FF,FF,FF
1528759240.672349,7154723,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.681305,7154732,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.685348,7154736,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.686305,7154737,18F00F00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.690341,7154741,0CF00A00,8,00,00,00,00,FF,FF,FF,FF
1528759240.691309,7154742,18F0000F,8,F0,7D,7D,FF,0F,FF,FF,FF
1528759240.692340,7154743,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.695343,7154746,18FDB200,8,FF,FF,FF,FF,FF,FE,FF,FF
1528759240.701345,7154752,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
